CCAA de su universidad	Ámbito de estudio	Tasas de actividad, empleo y paro	Total
Asturias, Principado de	Dirección y administración	Tasa de empleo	95
Asturias, Principado de	Dirección y administración	Tasa de paro	1,3
Asturias, Principado de	Negocios y administración (Otros estudios)	Tasa de actividad	94,8
Asturias, Principado de	Negocios y administración (Otros estudios)	Tasa de empleo	84,2
Asturias, Principado de	Negocios y administración (Otros estudios)	Tasa de paro	11,2
Asturias, Principado de	Derecho	Tasa de actividad	82,1
Asturias, Principado de	Derecho	Tasa de empleo	77,2
Asturias, Principado de	Derecho	Tasa de paro	6
Asturias, Principado de	05 - CIENCIAS	Tasa de actividad	88
Asturias, Principado de	05 - CIENCIAS	Tasa de empleo	72,6
Asturias, Principado de	05 - CIENCIAS	Tasa de paro	17,4
Asturias, Principado de	Ciencias de la vida	Tasa de actividad	83,3
Asturias, Principado de	Ciencias de la vida	Tasa de empleo	67,2
Asturias, Principado de	Ciencias de la vida	Tasa de paro	19,4
Asturias, Principado de	Medio ambiente	Tasa de actividad	0
Asturias, Principado de	Medio ambiente	Tasa de empleo	0
Asturias, Principado de	Medio ambiente	Tasa de paro	0
Asturias, Principado de	Ciencias químicas, físicas y geológicas	Tasa de actividad	95,3
Asturias, Principado de	Ciencias químicas, físicas y geológicas	Tasa de empleo	79,9
Asturias, Principado de	Ciencias químicas, físicas y geológicas	Tasa de paro	16,2
Asturias, Principado de	Matemáticas y estadística	Tasa de actividad	79,5
Asturias, Principado de	Matemáticas y estadística	Tasa de empleo	73,1
Asturias, Principado de	Matemáticas y estadística	Tasa de paro	8,1
Asturias, Principado de	06 - INFORMÁTICA	Tasa de actividad	97,4
Asturias, Principado de	06 - INFORMÁTICA	Tasa de empleo	89
Asturias, Principado de	06 - INFORMÁTICA	Tasa de paro	8,6
Asturias, Principado de	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de actividad	95,2
Asturias, Principado de	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de empleo	91,8
Asturias, Principado de	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de paro	3,6
Asturias, Principado de	Ingeniería y profesiones afines	Tasa de actividad	95,4
Asturias, Principado de	Ingeniería y profesiones afines	Tasa de empleo	91,7
Asturias, Principado de	Ingeniería y profesiones afines	Tasa de paro	3,8
Asturias, Principado de	Industria manufacturera y producción	Tasa de actividad	95,8
Asturias, Principado de	Industria manufacturera y producción	Tasa de empleo	93,7
Asturias, Principado de	Industria manufacturera y producción	Tasa de paro	2,2
Asturias, Principado de	Arquitectura y construcción	Tasa de actividad	92,3
Asturias, Principado de	Arquitectura y construcción	Tasa de empleo	88,6
Asturias, Principado de	Arquitectura y construcción	Tasa de paro	4
Asturias, Principado de	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de actividad	92,3
Asturias, Principado de	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de empleo	84,6
Asturias, Principado de	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de paro	8,3
Asturias, Principado de	Agricultura y ganadería	Tasa de actividad	0
Asturias, Principado de	Agricultura y ganadería	Tasa de empleo	0
Asturias, Principado de	Agricultura y ganadería	Tasa de paro	0
Asturias, Principado de	Silvicultura	Tasa de actividad	92,3
Asturias, Principado de	Silvicultura	Tasa de empleo	84,6
Asturias, Principado de	Silvicultura	Tasa de paro	8,3
Asturias, Principado de	Veterinaria	Tasa de actividad	0
Asturias, Principado de	Veterinaria	Tasa de empleo	0
Asturias, Principado de	Veterinaria	Tasa de paro	0
Asturias, Principado de	09 - SALUD Y SERVICIOS SOCIALES	Tasa de actividad	94,6
Asturias, Principado de	09 - SALUD Y SERVICIOS SOCIALES	Tasa de empleo	89,5
Asturias, Principado de	09 - SALUD Y SERVICIOS SOCIALES	Tasa de paro	5,3
Asturias, Principado de	Medicina	Tasa de actividad	94,9
Asturias, Principado de	Medicina	Tasa de empleo	94,9
Asturias, Principado de	Medicina	Tasa de paro	0
Asturias, Principado de	Enfermería	Tasa de actividad	94,9
Asturias, Principado de	Enfermería	Tasa de empleo	92,5
Asturias, Principado de	Enfermería	Tasa de paro	2,5
Asturias, Principado de	Salud (Otros estudios)	Tasa de actividad	97,2
Asturias, Principado de	Salud (Otros estudios)	Tasa de empleo	92
Asturias, Principado de	Salud (Otros estudios)	Tasa de paro	5,3
Asturias, Principado de	Servicios sociales	Tasa de actividad	89,2
Asturias, Principado de	Servicios sociales	Tasa de empleo	71,7
Asturias, Principado de	Servicios sociales	Tasa de paro	19,6
Asturias, Principado de	10 - SERVICIOS	Tasa de actividad	94,9
Asturias, Principado de	10 - SERVICIOS	Tasa de empleo	83,7
Asturias, Principado de	10 - SERVICIOS	Tasa de paro	11,8
Asturias, Principado de	Actividades físicas y deportivas	Tasa de actividad	0
Asturias, Principado de	Actividades físicas y deportivas	Tasa de empleo	0
Asturias, Principado de	Actividades físicas y deportivas	Tasa de paro	0
Asturias, Principado de	Viajes, turismo y ocio	Tasa de actividad	93,7
Asturias, Principado de	Viajes, turismo y ocio	Tasa de empleo	81,6
Asturias, Principado de	Viajes, turismo y ocio	Tasa de paro	12,9
Asturias, Principado de	Servicios (Otros estudios)	Tasa de actividad	100
Asturias, Principado de	Servicios (Otros estudios)	Tasa de empleo	92,4
Asturias, Principado de	Servicios (Otros estudios)	Tasa de paro	7,6
Balears, Illes	TOTAL	Tasa de actividad	95,1
Balears, Illes	TOTAL	Tasa de empleo	88,5
Balears, Illes	TOTAL	Tasa de paro	7
Balears, Illes	01 - EDUCACIÓN	Tasa de actividad	94,8
Balears, Illes	01 - EDUCACIÓN	Tasa de empleo	89,6
Balears, Illes	01 - EDUCACIÓN	Tasa de paro	5,5
Balears, Illes	Formación de docentes de enseñanza infantil	Tasa de actividad	92,8
Balears, Illes	Formación de docentes de enseñanza infantil	Tasa de empleo	86,6
Balears, Illes	Formación de docentes de enseñanza infantil	Tasa de paro	6,7
Balears, Illes	Formación de docentes de enseñanza primaria	Tasa de actividad	96,2
Balears, Illes	Formación de docentes de enseñanza primaria	Tasa de empleo	90,5
Balears, Illes	Formación de docentes de enseñanza primaria	Tasa de paro	5,9
Balears, Illes	Educación (Otros estudios)	Tasa de actividad	95
Balears, Illes	Educación (Otros estudios)	Tasa de empleo	92,2
Balears, Illes	Educación (Otros estudios)	Tasa de paro	3
Balears, Illes	02 - ARTES Y HUMANIDADES	Tasa de actividad	93,7
Balears, Illes	02 - ARTES Y HUMANIDADES	Tasa de empleo	74,8
Balears, Illes	02 - ARTES Y HUMANIDADES	Tasa de paro	20,2
Balears, Illes	Técnicas audiovisuales y medios de comunicación	Tasa de actividad	90,6
Balears, Illes	Técnicas audiovisuales y medios de comunicación	Tasa de empleo	71,8
Balears, Illes	Técnicas audiovisuales y medios de comunicación	Tasa de paro	20,8
Balears, Illes	Artes (Otros estudios)	Tasa de actividad	93,3
Balears, Illes	Artes (Otros estudios)	Tasa de empleo	79,8
Balears, Illes	Artes (Otros estudios)	Tasa de paro	14,5
Balears, Illes	Humanidades	Tasa de actividad	92
Balears, Illes	Humanidades	Tasa de empleo	81,8
Balears, Illes	Humanidades	Tasa de paro	11
Balears, Illes	Lenguas	Tasa de actividad	95,4
Balears, Illes	Lenguas	Tasa de empleo	70,8
Balears, Illes	Lenguas	Tasa de paro	25,7
Balears, Illes	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de actividad	95,1
Balears, Illes	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de empleo	85,3
Balears, Illes	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de paro	10,3
Balears, Illes	Economía	Tasa de actividad	100
Balears, Illes	Economía	Tasa de empleo	95,9
Balears, Illes	Economía	Tasa de paro	4,1
Balears, Illes	Psicología	Tasa de actividad	91,3
Balears, Illes	Psicología	Tasa de empleo	79,8
Balears, Illes	Psicología	Tasa de paro	12,6
Balears, Illes	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de actividad	100
Balears, Illes	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de empleo	88,5
Balears, Illes	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de paro	11,5
Balears, Illes	Periodismo y documentación	Tasa de actividad	100
Balears, Illes	Periodismo y documentación	Tasa de empleo	89,4
Balears, Illes	Periodismo y documentación	Tasa de paro	10,6
Balears, Illes	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de actividad	95,5
Balears, Illes	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de empleo	91,4
Balears, Illes	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de paro	4,3
Balears, Illes	Dirección y administración	Tasa de actividad	98,1
Balears, Illes	Dirección y administración	Tasa de empleo	96,4
Balears, Illes	Dirección y administración	Tasa de paro	1,8
Balears, Illes	Negocios y administración (Otros estudios)	Tasa de actividad	0
Balears, Illes	Negocios y administración (Otros estudios)	Tasa de empleo	0
Balears, Illes	Negocios y administración (Otros estudios)	Tasa de paro	0
Balears, Illes	Derecho	Tasa de actividad	92
Balears, Illes	Derecho	Tasa de empleo	84,7
Balears, Illes	Derecho	Tasa de paro	8
Balears, Illes	05 - CIENCIAS	Tasa de actividad	89,5
Balears, Illes	05 - CIENCIAS	Tasa de empleo	73,1
Balears, Illes	05 - CIENCIAS	Tasa de paro	18,4
Balears, Illes	Ciencias de la vida	Tasa de actividad	88,8
Balears, Illes	Ciencias de la vida	Tasa de empleo	69,7
Balears, Illes	Ciencias de la vida	Tasa de paro	21,5
Balears, Illes	Medio ambiente	Tasa de actividad	0
Balears, Illes	Medio ambiente	Tasa de empleo	0
Balears, Illes	Medio ambiente	Tasa de paro	0
Balears, Illes	Ciencias químicas, físicas y geológicas	Tasa de actividad	90,9
Balears, Illes	Ciencias químicas, físicas y geológicas	Tasa de empleo	81,8
Balears, Illes	Ciencias químicas, físicas y geológicas	Tasa de paro	10
Balears, Illes	Matemáticas y estadística	Tasa de actividad	.
Balears, Illes	Matemáticas y estadística	Tasa de empleo	.
Balears, Illes	Matemáticas y estadística	Tasa de paro	.
Balears, Illes	06 - INFORMÁTICA	Tasa de actividad	100
Balears, Illes	06 - INFORMÁTICA	Tasa de empleo	100
Balears, Illes	06 - INFORMÁTICA	Tasa de paro	0
Balears, Illes	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de actividad	100
Balears, Illes	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de empleo	94
Balears, Illes	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de paro	6
Balears, Illes	Ingeniería y profesiones afines	Tasa de actividad	100
Balears, Illes	Ingeniería y profesiones afines	Tasa de empleo	97,4
Balears, Illes	Ingeniería y profesiones afines	Tasa de paro	2,6
Balears, Illes	Industria manufacturera y producción	Tasa de actividad	0
Balears, Illes	Industria manufacturera y producción	Tasa de empleo	0
Balears, Illes	Industria manufacturera y producción	Tasa de paro	0
Balears, Illes	Arquitectura y construcción	Tasa de actividad	100
Balears, Illes	Arquitectura y construcción	Tasa de empleo	93,2
Balears, Illes	Arquitectura y construcción	Tasa de paro	6,8
Balears, Illes	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de actividad	87,7
Balears, Illes	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de empleo	87,7
Balears, Illes	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de paro	0
Balears, Illes	Agricultura y ganadería	Tasa de actividad	87,7
Balears, Illes	Agricultura y ganadería	Tasa de empleo	87,7
Balears, Illes	Agricultura y ganadería	Tasa de paro	0
Balears, Illes	Silvicultura	Tasa de actividad	0
Balears, Illes	Silvicultura	Tasa de empleo	0
Balears, Illes	Silvicultura	Tasa de paro	0
Balears, Illes	Veterinaria	Tasa de actividad	0
Balears, Illes	Veterinaria	Tasa de empleo	0
Balears, Illes	Veterinaria	Tasa de paro	0
Balears, Illes	09 - SALUD Y SERVICIOS SOCIALES	Tasa de actividad	93,2
Balears, Illes	09 - SALUD Y SERVICIOS SOCIALES	Tasa de empleo	92,5
Balears, Illes	09 - SALUD Y SERVICIOS SOCIALES	Tasa de paro	0,8
Balears, Illes	Medicina	Tasa de actividad	0
Balears, Illes	Medicina	Tasa de empleo	0
Balears, Illes	Medicina	Tasa de paro	0
Balears, Illes	Enfermería	Tasa de actividad	91,3
Balears, Illes	Enfermería	Tasa de empleo	91,3
Balears, Illes	Enfermería	Tasa de paro	0
Balears, Illes	Salud (Otros estudios)	Tasa de actividad	100
Balears, Illes	Salud (Otros estudios)	Tasa de empleo	100
Balears, Illes	Salud (Otros estudios)	Tasa de paro	0
Balears, Illes	Servicios sociales	Tasa de actividad	93,1
Balears, Illes	Servicios sociales	Tasa de empleo	89,7
Balears, Illes	Servicios sociales	Tasa de paro	3,7
Balears, Illes	10 - SERVICIOS	Tasa de actividad	97
Balears, Illes	10 - SERVICIOS	Tasa de empleo	97
Balears, Illes	10 - SERVICIOS	Tasa de paro	0
Balears, Illes	Actividades físicas y deportivas	Tasa de actividad	0
Balears, Illes	Actividades físicas y deportivas	Tasa de empleo	0
Balears, Illes	Actividades físicas y deportivas	Tasa de paro	0
Balears, Illes	Viajes, turismo y ocio	Tasa de actividad	97
Balears, Illes	Viajes, turismo y ocio	Tasa de empleo	97
Balears, Illes	Viajes, turismo y ocio	Tasa de paro	0
Balears, Illes	Servicios (Otros estudios)	Tasa de actividad	0
Balears, Illes	Servicios (Otros estudios)	Tasa de empleo	0
Balears, Illes	Servicios (Otros estudios)	Tasa de paro	0
Canarias	TOTAL	Tasa de actividad	91,9
Canarias	TOTAL	Tasa de empleo	81,7
Canarias	TOTAL	Tasa de paro	11,1
Canarias	01 - EDUCACIÓN	Tasa de actividad	90,8
Canarias	01 - EDUCACIÓN	Tasa de empleo	72,3
Canarias	01 - EDUCACIÓN	Tasa de paro	20,3
Canarias	Formación de docentes de enseñanza infantil	Tasa de actividad	90,8
Canarias	Formación de docentes de enseñanza infantil	Tasa de empleo	76,2
Canarias	Formación de docentes de enseñanza infantil	Tasa de paro	16,1
Canarias	Formación de docentes de enseñanza primaria	Tasa de actividad	92,1
Canarias	Formación de docentes de enseñanza primaria	Tasa de empleo	72,5
Canarias	Formación de docentes de enseñanza primaria	Tasa de paro	21,3
Canarias	Educación (Otros estudios)	Tasa de actividad	89,6
Canarias	Educación (Otros estudios)	Tasa de empleo	70,3
Canarias	Educación (Otros estudios)	Tasa de paro	21,6
Canarias	02 - ARTES Y HUMANIDADES	Tasa de actividad	87,3
Canarias	02 - ARTES Y HUMANIDADES	Tasa de empleo	70
Canarias	02 - ARTES Y HUMANIDADES	Tasa de paro	19,9
Canarias	Técnicas audiovisuales y medios de comunicación	Tasa de actividad	0
Canarias	Técnicas audiovisuales y medios de comunicación	Tasa de empleo	0
Canarias	Técnicas audiovisuales y medios de comunicación	Tasa de paro	0
Canarias	Artes (Otros estudios)	Tasa de actividad	85,9
Canarias	Artes (Otros estudios)	Tasa de empleo	69,5
Canarias	Artes (Otros estudios)	Tasa de paro	19
Canarias	Humanidades	Tasa de actividad	80,2
Canarias	Humanidades	Tasa de empleo	59,5
Canarias	Humanidades	Tasa de paro	25,8
Canarias	Lenguas	Tasa de actividad	90,8
Canarias	Lenguas	Tasa de empleo	74,1
Canarias	Lenguas	Tasa de paro	18,3
Canarias	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de actividad	94,5
Canarias	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de empleo	83,3
Canarias	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de paro	11,9
Canarias	Economía	Tasa de actividad	88,9
Canarias	Economía	Tasa de empleo	83,6
Canarias	Economía	Tasa de paro	6
Canarias	Psicología	Tasa de actividad	97,8
Canarias	Psicología	Tasa de empleo	80,2
Canarias	Psicología	Tasa de paro	18
Canarias	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de actividad	91
Canarias	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de empleo	88,6
Canarias	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de paro	2,6
Canarias	Periodismo y documentación	Tasa de actividad	93,6
Canarias	Periodismo y documentación	Tasa de empleo	90,4
Canarias	Periodismo y documentación	Tasa de paro	3,4
Canarias	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de actividad	91,1
Canarias	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de empleo	83,7
Canarias	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de paro	8,1
Canarias	Dirección y administración	Tasa de actividad	97,5
Canarias	Dirección y administración	Tasa de empleo	90,9
Canarias	Dirección y administración	Tasa de paro	6,8
Canarias	Negocios y administración (Otros estudios)	Tasa de actividad	90,3
Canarias	Negocios y administración (Otros estudios)	Tasa de empleo	85,6
Canarias	Negocios y administración (Otros estudios)	Tasa de paro	5,2
Canarias	Derecho	Tasa de actividad	82,2
Canarias	Derecho	Tasa de empleo	73,3
Canarias	Derecho	Tasa de paro	10,8
Canarias	05 - CIENCIAS	Tasa de actividad	91,8
Canarias	05 - CIENCIAS	Tasa de empleo	81,9
Canarias	05 - CIENCIAS	Tasa de paro	10,8
Canarias	Ciencias de la vida	Tasa de actividad	91,5
Canarias	Ciencias de la vida	Tasa de empleo	83
Canarias	Ciencias de la vida	Tasa de paro	9,3
Canarias	Medio ambiente	Tasa de actividad	0
Canarias	Medio ambiente	Tasa de empleo	0
Canarias	Medio ambiente	Tasa de paro	0
Canarias	Ciencias químicas, físicas y geológicas	Tasa de actividad	92,7
Canarias	Ciencias químicas, físicas y geológicas	Tasa de empleo	79,6
Canarias	Ciencias químicas, físicas y geológicas	Tasa de paro	14,2
Canarias	Matemáticas y estadística	Tasa de actividad	90,1
Canarias	Matemáticas y estadística	Tasa de empleo	85,2
Canarias	Matemáticas y estadística	Tasa de paro	5,4
Canarias	06 - INFORMÁTICA	Tasa de actividad	100
Canarias	06 - INFORMÁTICA	Tasa de empleo	95,8
Canarias	06 - INFORMÁTICA	Tasa de paro	4,2
Canarias	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de actividad	94,7
Canarias	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de empleo	88,8
Canarias	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de paro	6,2
Canarias	Ingeniería y profesiones afines	Tasa de actividad	96,2
Canarias	Ingeniería y profesiones afines	Tasa de empleo	92,9
Canarias	Ingeniería y profesiones afines	Tasa de paro	3,5
Canarias	Industria manufacturera y producción	Tasa de actividad	0
Canarias	Industria manufacturera y producción	Tasa de empleo	0
Canarias	Industria manufacturera y producción	Tasa de paro	0
Canarias	Arquitectura y construcción	Tasa de actividad	93,2
Canarias	Arquitectura y construcción	Tasa de empleo	84,8
Canarias	Arquitectura y construcción	Tasa de paro	8,9
Canarias	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de actividad	85,8
Canarias	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de empleo	79,4
Canarias	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de paro	7,4
Canarias	Agricultura y ganadería	Tasa de actividad	79,6
Canarias	Agricultura y ganadería	Tasa de empleo	70,7
Canarias	Agricultura y ganadería	Tasa de paro	11,1
Canarias	Silvicultura	Tasa de actividad	0
Canarias	Silvicultura	Tasa de empleo	0
Canarias	Silvicultura	Tasa de paro	0
Canarias	Veterinaria	Tasa de actividad	94,1
Canarias	Veterinaria	Tasa de empleo	91
Canarias	Veterinaria	Tasa de paro	3,2
Canarias	09 - SALUD Y SERVICIOS SOCIALES	Tasa de actividad	92,7
Canarias	09 - SALUD Y SERVICIOS SOCIALES	Tasa de empleo	89,7
Canarias	09 - SALUD Y SERVICIOS SOCIALES	Tasa de paro	3,2
Canarias	Medicina	Tasa de actividad	91,6
Canarias	Medicina	Tasa de empleo	91,6
Canarias	Medicina	Tasa de paro	0
Canarias	Enfermería	Tasa de actividad	93,7
Canarias	Enfermería	Tasa de empleo	93,7
Canarias	Enfermería	Tasa de paro	0
Canarias	Salud (Otros estudios)	Tasa de actividad	88,8
Canarias	Salud (Otros estudios)	Tasa de empleo	79,4
Canarias	Salud (Otros estudios)	Tasa de paro	10,6
Canarias	Servicios sociales	Tasa de actividad	97,7
Canarias	Servicios sociales	Tasa de empleo	93,1
Canarias	Servicios sociales	Tasa de paro	4,7
Canarias	10 - SERVICIOS	Tasa de actividad	93,3
Canarias	10 - SERVICIOS	Tasa de empleo	80,3
Canarias	10 - SERVICIOS	Tasa de paro	13,8
Canarias	Actividades físicas y deportivas	Tasa de actividad	100
Canarias	Actividades físicas y deportivas	Tasa de empleo	90,4
Canarias	Actividades físicas y deportivas	Tasa de paro	9,6
Canarias	Viajes, turismo y ocio	Tasa de actividad	89,6
Canarias	Viajes, turismo y ocio	Tasa de empleo	71,5
Canarias	Viajes, turismo y ocio	Tasa de paro	20,2
Canarias	Servicios (Otros estudios)	Tasa de actividad	95,3
Canarias	Servicios (Otros estudios)	Tasa de empleo	90,7
Canarias	Servicios (Otros estudios)	Tasa de paro	4,9
Cantabria	TOTAL	Tasa de actividad	92,5
Cantabria	TOTAL	Tasa de empleo	85,1
Cantabria	TOTAL	Tasa de paro	8
Cantabria	01 - EDUCACIÓN	Tasa de actividad	88,7
Cantabria	01 - EDUCACIÓN	Tasa de empleo	70
Cantabria	01 - EDUCACIÓN	Tasa de paro	21
Cantabria	Formación de docentes de enseñanza infantil	Tasa de actividad	89,8
Cantabria	Formación de docentes de enseñanza infantil	Tasa de empleo	76,6
Cantabria	Formación de docentes de enseñanza infantil	Tasa de paro	14,7
Cantabria	Formación de docentes de enseñanza primaria	Tasa de actividad	93,9
Cantabria	Formación de docentes de enseñanza primaria	Tasa de empleo	66,4
Cantabria	Formación de docentes de enseñanza primaria	Tasa de paro	29,3
Cantabria	Educación (Otros estudios)	Tasa de actividad	73,6
Cantabria	Educación (Otros estudios)	Tasa de empleo	69,5
Cantabria	Educación (Otros estudios)	Tasa de paro	5,6
Cantabria	02 - ARTES Y HUMANIDADES	Tasa de actividad	75,8
Cantabria	02 - ARTES Y HUMANIDADES	Tasa de empleo	50,7
Cantabria	02 - ARTES Y HUMANIDADES	Tasa de paro	33,1
Cantabria	Técnicas audiovisuales y medios de comunicación	Tasa de actividad	0
Cantabria	Técnicas audiovisuales y medios de comunicación	Tasa de empleo	0
Cantabria	Técnicas audiovisuales y medios de comunicación	Tasa de paro	0
Cantabria	Artes (Otros estudios)	Tasa de actividad	0
Cantabria	Artes (Otros estudios)	Tasa de empleo	0
Cantabria	Artes (Otros estudios)	Tasa de paro	0
Cantabria	Humanidades	Tasa de actividad	75,8
Cantabria	Humanidades	Tasa de empleo	50,7
Cantabria	Humanidades	Tasa de paro	33,1
Cantabria	Lenguas	Tasa de actividad	0
Cantabria	Lenguas	Tasa de empleo	0
Cantabria	Lenguas	Tasa de paro	0
Cantabria	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de actividad	89,8
Cantabria	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de empleo	82,8
Cantabria	03 - CIENCIAS SOCIALES, PERIODISMO Y DOCUMENTACIÓN	Tasa de paro	7,8
Cantabria	Economía	Tasa de actividad	88,4
Cantabria	Economía	Tasa de empleo	80,4
Cantabria	Economía	Tasa de paro	9,1
Cantabria	Psicología	Tasa de actividad	0
Cantabria	Psicología	Tasa de empleo	0
Cantabria	Psicología	Tasa de paro	0
Cantabria	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de actividad	100
Cantabria	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de empleo	100
Cantabria	Ciencias sociales y del comportamiento (Otros estudios)	Tasa de paro	0
Cantabria	Periodismo y documentación	Tasa de actividad	0
Cantabria	Periodismo y documentación	Tasa de empleo	0
Cantabria	Periodismo y documentación	Tasa de paro	0
Cantabria	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de actividad	90,7
Cantabria	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de empleo	85,1
Cantabria	04 - NEGOCIOS, ADMINISTRACIÓN Y DERECHO	Tasa de paro	6,1
Cantabria	Dirección y administración	Tasa de actividad	91,7
Cantabria	Dirección y administración	Tasa de empleo	90,1
Cantabria	Dirección y administración	Tasa de paro	1,7
Cantabria	Negocios y administración (Otros estudios)	Tasa de actividad	0
Cantabria	Negocios y administración (Otros estudios)	Tasa de empleo	0
Cantabria	Negocios y administración (Otros estudios)	Tasa de paro	0
Cantabria	Derecho	Tasa de actividad	88,6
Cantabria	Derecho	Tasa de empleo	75,1
Cantabria	Derecho	Tasa de paro	15,3
Cantabria	05 - CIENCIAS	Tasa de actividad	96,4
Cantabria	05 - CIENCIAS	Tasa de empleo	85,3
Cantabria	05 - CIENCIAS	Tasa de paro	11,6
Cantabria	Ciencias de la vida	Tasa de actividad	0
Cantabria	Ciencias de la vida	Tasa de empleo	0
Cantabria	Ciencias de la vida	Tasa de paro	0
Cantabria	Medio ambiente	Tasa de actividad	0
Cantabria	Medio ambiente	Tasa de empleo	0
Cantabria	Medio ambiente	Tasa de paro	0
Cantabria	Ciencias químicas, físicas y geológicas	Tasa de actividad	100
Cantabria	Ciencias químicas, físicas y geológicas	Tasa de empleo	93,6
Cantabria	Ciencias químicas, físicas y geológicas	Tasa de paro	6,4
Cantabria	Matemáticas y estadística	Tasa de actividad	89,9
Cantabria	Matemáticas y estadística	Tasa de empleo	70
Cantabria	Matemáticas y estadística	Tasa de paro	22,1
Cantabria	06 - INFORMÁTICA	Tasa de actividad	100
Cantabria	06 - INFORMÁTICA	Tasa de empleo	100
Cantabria	06 - INFORMÁTICA	Tasa de paro	0
Cantabria	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de actividad	92,7
Cantabria	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de empleo	88
Cantabria	07 - INGENIERÍA, INDUSTRIA Y CONSTRUCCIÓN	Tasa de paro	5
Cantabria	Ingeniería y profesiones afines	Tasa de actividad	96,7
Cantabria	Ingeniería y profesiones afines	Tasa de empleo	91,8
Cantabria	Ingeniería y profesiones afines	Tasa de paro	5,1
Cantabria	Industria manufacturera y producción	Tasa de actividad	89,7
Cantabria	Industria manufacturera y producción	Tasa de empleo	81,7
Cantabria	Industria manufacturera y producción	Tasa de paro	8,9
Cantabria	Arquitectura y construcción	Tasa de actividad	89,8
Cantabria	Arquitectura y construcción	Tasa de empleo	85,7
Cantabria	Arquitectura y construcción	Tasa de paro	4,6
Cantabria	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de actividad	0
Cantabria	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de empleo	0
Cantabria	08 - AGRICULTURA, GANADERÍA, SILVICULTURA, PESCA Y VETERINARIA	Tasa de paro	0
Cantabria	Agricultura y ganadería	Tasa de actividad	0
Cantabria	Agricultura y ganadería	Tasa de empleo	0
Cantabria	Agricultura y ganadería	Tasa de paro	0
