Comunidades y ciudades autónomas	Sexo	periodo	Total
Balears (Illes)	Ambos sexos	1978	62,19
Balears (Illes)	Ambos sexos	1977	63,65
Balears (Illes)	Varones	2029	81
Balears (Illes)	Varones	2028	81,05
Balears (Illes)	Varones	2027	81,2
Balears (Illes)	Varones	2026	81,37
Balears (Illes)	Varones	2025	81,54
Balears (Illes)	Varones	2024	81,87
Balears (Illes)	Varones	2023	82,12
Balears (Illes)	Varones	2022	82,34
Balears (Illes)	Varones	2021	82,67
Balears (Illes)	Varones	2020	82,94
Balears (Illes)	Varones	2019	83,15
Balears (Illes)	Varones	2018	83,48
Balears (Illes)	Varones	2017	83,64
Balears (Illes)	Varones	2016	83,79
Balears (Illes)	Varones	2015	83,66
Balears (Illes)	Varones	2014	83,97
Balears (Illes)	Varones	2013	85,63
Balears (Illes)	Varones	2012	84,03
Balears (Illes)	Varones	2011	83,41
Balears (Illes)	Varones	2010	85,12
Balears (Illes)	Varones	2009	84,76
Balears (Illes)	Varones	2008	85,12
Balears (Illes)	Varones	2007	85,11
Balears (Illes)	Varones	2006	84,41
Balears (Illes)	Varones	2005	84,32
Balears (Illes)	Varones	2004	84,55
Balears (Illes)	Varones	2003	84,54
Balears (Illes)	Varones	2002	83,99
Balears (Illes)	Varones	2001	82,99
Balears (Illes)	Varones	2000	81,82
Balears (Illes)	Varones	1999	80,04
Balears (Illes)	Varones	1998	80,99
Balears (Illes)	Varones	1997	79,97
Balears (Illes)	Varones	1996	79,56
Balears (Illes)	Varones	1995	79,87
Balears (Illes)	Varones	1994	81,09
Balears (Illes)	Varones	1993	79,69
Balears (Illes)	Varones	1992	81,95
Balears (Illes)	Varones	1991	82,09
Balears (Illes)	Varones	1990	82,95
Balears (Illes)	Varones	1989	83,4
Balears (Illes)	Varones	1988	81,76
Balears (Illes)	Varones	1987	82,47
Balears (Illes)	Varones	1986	81,67
Balears (Illes)	Varones	1985	82,16
Balears (Illes)	Varones	1984	84,06
Balears (Illes)	Varones	1983	83,15
Balears (Illes)	Varones	1982	84,17
Balears (Illes)	Varones	1981	84,76
Balears (Illes)	Varones	1980	86,9
Balears (Illes)	Varones	1979	86,3
Balears (Illes)	Varones	1978	84,86
Balears (Illes)	Varones	1977	87,46
Balears (Illes)	Mujeres	2029	76,05
Balears (Illes)	Mujeres	2028	76,12
Balears (Illes)	Mujeres	2027	76,27
Balears (Illes)	Mujeres	2026	76,48
Balears (Illes)	Mujeres	2025	76,63
Balears (Illes)	Mujeres	2024	76,85
Balears (Illes)	Mujeres	2023	76,99
Balears (Illes)	Mujeres	2022	77,08
Balears (Illes)	Mujeres	2021	77,21
Balears (Illes)	Mujeres	2020	77,28
Balears (Illes)	Mujeres	2019	77,31
Balears (Illes)	Mujeres	2018	77,26
Balears (Illes)	Mujeres	2017	77,04
Balears (Illes)	Mujeres	2016	76,81
Balears (Illes)	Mujeres	2015	74,07
Balears (Illes)	Mujeres	2014	72,62
Balears (Illes)	Mujeres	2013	74,86
Balears (Illes)	Mujeres	2012	73,96
Balears (Illes)	Mujeres	2011	72,47
Balears (Illes)	Mujeres	2010	71,75
Balears (Illes)	Mujeres	2009	69,87
Balears (Illes)	Mujeres	2008	67,2
Balears (Illes)	Mujeres	2007	66,96
Balears (Illes)	Mujeres	2006	65,75
Balears (Illes)	Mujeres	2005	65,52
Balears (Illes)	Mujeres	2004	65,12
Balears (Illes)	Mujeres	2003	63,54
Balears (Illes)	Mujeres	2002	58,59
Balears (Illes)	Mujeres	2001	57,52
Balears (Illes)	Mujeres	2000	57,52
Balears (Illes)	Mujeres	1999	54,21
Balears (Illes)	Mujeres	1998	54,57
Balears (Illes)	Mujeres	1997	55,66
Balears (Illes)	Mujeres	1996	54,8
Balears (Illes)	Mujeres	1995	52,82
Balears (Illes)	Mujeres	1994	51,89
Balears (Illes)	Mujeres	1993	46,45
Balears (Illes)	Mujeres	1992	47,22
Balears (Illes)	Mujeres	1991	47,9
Balears (Illes)	Mujeres	1990	49,12
Balears (Illes)	Mujeres	1989	49,7
Balears (Illes)	Mujeres	1988	43,63
Balears (Illes)	Mujeres	1987	40,4
Balears (Illes)	Mujeres	1986	38,05
Balears (Illes)	Mujeres	1985	40,55
Balears (Illes)	Mujeres	1984	41,7
Balears (Illes)	Mujeres	1983	38,64
Balears (Illes)	Mujeres	1982	35,02
Balears (Illes)	Mujeres	1981	36,13
Balears (Illes)	Mujeres	1980	37,89
Balears (Illes)	Mujeres	1979	37,39
Balears (Illes)	Mujeres	1978	39,7
Balears (Illes)	Mujeres	1977	40,07
Canarias	Ambos sexos	2029	74,07
Canarias	Ambos sexos	2028	74,15
Canarias	Ambos sexos	2027	74,27
Canarias	Ambos sexos	2026	74,44
Canarias	Ambos sexos	2025	74,61
Canarias	Ambos sexos	2024	74,83
Canarias	Ambos sexos	2023	75,06
Canarias	Ambos sexos	2022	75,21
Canarias	Ambos sexos	2021	75,37
Canarias	Ambos sexos	2020	75,49
Canarias	Ambos sexos	2019	75,53
Canarias	Ambos sexos	2018	75,56
Canarias	Ambos sexos	2017	75,43
Canarias	Ambos sexos	2016	75,34
Canarias	Ambos sexos	2015	74,16
Canarias	Ambos sexos	2014	74,09
Canarias	Ambos sexos	2013	74,49
Canarias	Ambos sexos	2012	74,58
Canarias	Ambos sexos	2011	73,62
Canarias	Ambos sexos	2010	73
Canarias	Ambos sexos	2009	71,52
Canarias	Ambos sexos	2008	70,51
Canarias	Ambos sexos	2007	71,11
Canarias	Ambos sexos	2006	70,11
Canarias	Ambos sexos	2005	68,43
Canarias	Ambos sexos	2004	68,66
Canarias	Ambos sexos	2003	67,21
Canarias	Ambos sexos	2002	65,81
Canarias	Ambos sexos	2001	63,51
Canarias	Ambos sexos	2000	62,83
Canarias	Ambos sexos	1999	61,21
Canarias	Ambos sexos	1998	61,06
Canarias	Ambos sexos	1997	59,54
Canarias	Ambos sexos	1996	58,15
Canarias	Ambos sexos	1995	59,05
Canarias	Ambos sexos	1994	58,97
Canarias	Ambos sexos	1993	57,26
Canarias	Ambos sexos	1992	60,32
Canarias	Ambos sexos	1991	59,19
Canarias	Ambos sexos	1990	59,31
Canarias	Ambos sexos	1989	59,38
Canarias	Ambos sexos	1988	58,52
Canarias	Ambos sexos	1987	57,51
Canarias	Ambos sexos	1986	57,04
Canarias	Ambos sexos	1985	57,01
Canarias	Ambos sexos	1984	56,9
Canarias	Ambos sexos	1983	56,57
Canarias	Ambos sexos	1982	56,08
Canarias	Ambos sexos	1981	57
Canarias	Ambos sexos	1980	57,27
Canarias	Ambos sexos	1979	57,97
Canarias	Ambos sexos	1978	57,48
Canarias	Ambos sexos	1977	56,27
Canarias	Varones	2029	76,83
Canarias	Varones	2028	76,9
Canarias	Varones	2027	77
Canarias	Varones	2026	77,16
Canarias	Varones	2025	77,39
Canarias	Varones	2024	77,62
Canarias	Varones	2023	77,92
Canarias	Varones	2022	78,08
Canarias	Varones	2021	78,34
Canarias	Varones	2020	78,55
Canarias	Varones	2019	78,78
Canarias	Varones	2018	79,03
Canarias	Varones	2017	79,08
Canarias	Varones	2016	79,35
Canarias	Varones	2015	79,5
Canarias	Varones	2014	79,45
Canarias	Varones	2013	79,84
Canarias	Varones	2012	80,67
Canarias	Varones	2011	80,17
Canarias	Varones	2010	80,34
Canarias	Varones	2009	80,22
Canarias	Varones	2008	79,96
Canarias	Varones	2007	80,68
Canarias	Varones	2006	80,55
Canarias	Varones	2005	78,83
Canarias	Varones	2004	79,55
Canarias	Varones	2003	78,68
Canarias	Varones	2002	78,84
Canarias	Varones	2001	77,17
Canarias	Varones	2000	76,4
Canarias	Varones	1999	74,4
Canarias	Varones	1998	73,99
Canarias	Varones	1997	73,05
Canarias	Varones	1996	72,42
Canarias	Varones	1995	72,93
Canarias	Varones	1994	73,39
Canarias	Varones	1993	72,79
Canarias	Varones	1992	75,68
Canarias	Varones	1991	76,73
Canarias	Varones	1990	77,92
Canarias	Varones	1989	79,19
Canarias	Varones	1988	78,67
Canarias	Varones	1987	78,66
Canarias	Varones	1986	78,82
Canarias	Varones	1985	79,68
Canarias	Varones	1984	80,28
Canarias	Varones	1983	80,26
Canarias	Varones	1982	81,86
Canarias	Varones	1981	82,6
Canarias	Varones	1980	83,06
Canarias	Varones	1979	84,3
Canarias	Varones	1978	84,32
Canarias	Varones	1977	84,18
Canarias	Mujeres	2029	71,37
Canarias	Mujeres	2028	71,46
Canarias	Mujeres	2027	71,59
Canarias	Mujeres	2026	71,77
Canarias	Mujeres	2025	71,88
Canarias	Mujeres	2024	72,07
Canarias	Mujeres	2023	72,23
Canarias	Mujeres	2022	72,37
Canarias	Mujeres	2021	72,41
Canarias	Mujeres	2020	72,44
Canarias	Mujeres	2019	72,29
Canarias	Mujeres	2018	72,09
Canarias	Mujeres	2017	71,77
Canarias	Mujeres	2016	71,32
Canarias	Mujeres	2015	68,76
Canarias	Mujeres	2014	68,67
Canarias	Mujeres	2013	69,05
Canarias	Mujeres	2012	68,38
Canarias	Mujeres	2011	66,93
Canarias	Mujeres	2010	65,48
Canarias	Mujeres	2009	62,59
Canarias	Mujeres	2008	60,81
Canarias	Mujeres	2007	61,27
Canarias	Mujeres	2006	59,35
Canarias	Mujeres	2005	57,74
Canarias	Mujeres	2004	57,49
Canarias	Mujeres	2003	55,48
Canarias	Mujeres	2002	52,51
Canarias	Mujeres	2001	49,57
Canarias	Mujeres	2000	49,05
Canarias	Mujeres	1999	47,87
Canarias	Mujeres	1998	48,01
Canarias	Mujeres	1997	45,92
Canarias	Mujeres	1996	43,74
Canarias	Mujeres	1995	45,04
Canarias	Mujeres	1994	44,44
Canarias	Mujeres	1993	41,61
Canarias	Mujeres	1992	44,86
Canarias	Mujeres	1991	41,6
Canarias	Mujeres	1990	40,68
Canarias	Mujeres	1989	39,57
Canarias	Mujeres	1988	38,43
Canarias	Mujeres	1987	36,48
Canarias	Mujeres	1986	35,41
Canarias	Mujeres	1985	34,48
Canarias	Mujeres	1984	33,67
Canarias	Mujeres	1983	33,05
Canarias	Mujeres	1982	30,48
Canarias	Mujeres	1981	31,5
Canarias	Mujeres	1980	31,5
Canarias	Mujeres	1979	31,69
Canarias	Mujeres	1978	30,73
Canarias	Mujeres	1977	28,5
Cantabria	Ambos sexos	2029	67,45
Cantabria	Ambos sexos	2028	67,64
Cantabria	Ambos sexos	2027	67,98
Cantabria	Ambos sexos	2026	68,32
Cantabria	Ambos sexos	2025	68,63
Cantabria	Ambos sexos	2024	68,98
Cantabria	Ambos sexos	2023	69,22
Cantabria	Ambos sexos	2022	69,5
Cantabria	Ambos sexos	2021	69,88
Cantabria	Ambos sexos	2020	70,21
Cantabria	Ambos sexos	2019	70,46
Cantabria	Ambos sexos	2018	70,72
Cantabria	Ambos sexos	2017	70,94
Cantabria	Ambos sexos	2016	71,11
Cantabria	Ambos sexos	2015	72,92
Cantabria	Ambos sexos	2014	72,43
Cantabria	Ambos sexos	2013	71,68
Cantabria	Ambos sexos	2012	71,88
Cantabria	Ambos sexos	2011	70,38
Cantabria	Ambos sexos	2010	71,01
Cantabria	Ambos sexos	2009	71,77
Cantabria	Ambos sexos	2008	71,42
Cantabria	Ambos sexos	2007	70,5
Cantabria	Ambos sexos	2006	69,52
Cantabria	Ambos sexos	2005	67,8
Cantabria	Ambos sexos	2004	67,75
Cantabria	Ambos sexos	2003	65,3
Cantabria	Ambos sexos	2002	63,75
Cantabria	Ambos sexos	2001	61,17
Cantabria	Ambos sexos	2000	58,09
Cantabria	Ambos sexos	1999	58,1
Cantabria	Ambos sexos	1998	59,95
Cantabria	Ambos sexos	1997	57,65
Cantabria	Ambos sexos	1996	57,53
Cantabria	Ambos sexos	1995	57,58
Cantabria	Ambos sexos	1994	57,91
Cantabria	Ambos sexos	1993	58,85
Cantabria	Ambos sexos	1992	57,09
Cantabria	Ambos sexos	1991	57,99
Cantabria	Ambos sexos	1990	59,12
Cantabria	Ambos sexos	1989	58,22
Cantabria	Ambos sexos	1988	57,47
Cantabria	Ambos sexos	1987	55,89
Cantabria	Ambos sexos	1986	56,86
Cantabria	Ambos sexos	1985	57,22
Cantabria	Ambos sexos	1984	56,59
Cantabria	Ambos sexos	1983	55,65
Cantabria	Ambos sexos	1982	57,56
Cantabria	Ambos sexos	1981	59,71
Cantabria	Ambos sexos	1980	59,01
Cantabria	Ambos sexos	1979	60,01
Cantabria	Ambos sexos	1978	59,43
Cantabria	Ambos sexos	1977	59,37
Cantabria	Varones	2029	69,73
Cantabria	Varones	2028	69,91
Cantabria	Varones	2027	70,25
Cantabria	Varones	2026	70,59
Cantabria	Varones	2025	71,03
Cantabria	Varones	2024	71,56
Cantabria	Varones	2023	71,93
Cantabria	Varones	2022	72,39
Cantabria	Varones	2021	72,92
Cantabria	Varones	2020	73,42
Cantabria	Varones	2019	73,95
Cantabria	Varones	2018	74,58
Cantabria	Varones	2017	75,01
Cantabria	Varones	2016	75,54
Cantabria	Varones	2015	78,5
Cantabria	Varones	2014	78,04
Cantabria	Varones	2013	77,88
Cantabria	Varones	2012	78,13
Cantabria	Varones	2011	77,5
Cantabria	Varones	2010	78,45
Cantabria	Varones	2009	79,72
Cantabria	Varones	2008	80,91
Cantabria	Varones	2007	79,97
Cantabria	Varones	2006	80,29
Cantabria	Varones	2005	80,25
Cantabria	Varones	2004	81,38
Cantabria	Varones	2003	79,04
Cantabria	Varones	2002	78,24
Cantabria	Varones	2001	74,43
Cantabria	Varones	2000	74,82
Cantabria	Varones	1999	75,2
Cantabria	Varones	1998	74,88
Cantabria	Varones	1997	71,76
Cantabria	Varones	1996	72,68
Cantabria	Varones	1995	73,49
Cantabria	Varones	1994	74,48
Cantabria	Varones	1993	76,19
Cantabria	Varones	1992	75,73
Cantabria	Varones	1991	76,28
Cantabria	Varones	1990	76,78
Cantabria	Varones	1989	77,84
Cantabria	Varones	1988	78,03
Cantabria	Varones	1987	78,07
Cantabria	Varones	1986	78,58
Cantabria	Varones	1985	80,9
Cantabria	Varones	1984	80,63
Cantabria	Varones	1983	80,47
Cantabria	Varones	1982	81,93
Cantabria	Varones	1981	82,95
Cantabria	Varones	1980	81,97
Cantabria	Varones	1979	83,13
Cantabria	Varones	1978	83,69
Cantabria	Varones	1977	83,76
Cantabria	Mujeres	2029	65,19
Cantabria	Mujeres	2028	65,38
Cantabria	Mujeres	2027	65,71
Cantabria	Mujeres	2026	66,05
Cantabria	Mujeres	2025	66,24
Cantabria	Mujeres	2024	66,42
Cantabria	Mujeres	2023	66,52
Cantabria	Mujeres	2022	66,63
Cantabria	Mujeres	2021	66,84
Cantabria	Mujeres	2020	66,99
Cantabria	Mujeres	2019	66,96
Cantabria	Mujeres	2018	66,85
Cantabria	Mujeres	2017	66,85
Cantabria	Mujeres	2016	66,65
Cantabria	Mujeres	2015	67,28
Cantabria	Mujeres	2014	66,75
Cantabria	Mujeres	2013	65,4
Cantabria	Mujeres	2012	65,55
Cantabria	Mujeres	2011	63,14
Cantabria	Mujeres	2010	63,44
Cantabria	Mujeres	2009	63,66
Cantabria	Mujeres	2008	61,77
Cantabria	Mujeres	2007	60,91
Cantabria	Mujeres	2006	58,63
Cantabria	Mujeres	2005	55,23
Cantabria	Mujeres	2004	54
Cantabria	Mujeres	2003	51,47
Cantabria	Mujeres	2002	49,19
Cantabria	Mujeres	2001	47,85
Cantabria	Mujeres	2000	41,28
Cantabria	Mujeres	1999	40,92
Cantabria	Mujeres	1998	44,95
Cantabria	Mujeres	1997	43,48
Cantabria	Mujeres	1996	42,33
Cantabria	Mujeres	1995	41,63
Cantabria	Mujeres	1994	41,3
Cantabria	Mujeres	1993	41,48
Cantabria	Mujeres	1992	38,41
Cantabria	Mujeres	1991	39,62
Cantabria	Mujeres	1990	41,35
Cantabria	Mujeres	1989	38,46
Cantabria	Mujeres	1988	36,77
Cantabria	Mujeres	1987	33,57
Cantabria	Mujeres	1986	35,04
Cantabria	Mujeres	1985	33,47
Cantabria	Mujeres	1984	32,52
Cantabria	Mujeres	1983	30,82
Cantabria	Mujeres	1982	33,23
Cantabria	Mujeres	1981	36,51
Cantabria	Mujeres	1980	36,09
Cantabria	Mujeres	1979	36,96
Cantabria	Mujeres	1978	35,3
Cantabria	Mujeres	1977	35,18
Castilla y León	Ambos sexos	2029	72,12
Castilla y León	Ambos sexos	2028	72,23
Castilla y León	Ambos sexos	2027	72,45
Castilla y León	Ambos sexos	2026	72,71
Castilla y León	Ambos sexos	2025	72,86
Castilla y León	Ambos sexos	2024	73,09
Castilla y León	Ambos sexos	2023	73,25
Castilla y León	Ambos sexos	2022	73,31
Castilla y León	Ambos sexos	2021	73,43
Castilla y León	Ambos sexos	2020	73,61
Castilla y León	Ambos sexos	2019	73,67
Castilla y León	Ambos sexos	2018	73,67
Castilla y León	Ambos sexos	2017	73,72
Castilla y León	Ambos sexos	2016	73,53
Castilla y León	Ambos sexos	2015	74,25
Castilla y León	Ambos sexos	2014	73,95
Castilla y León	Ambos sexos	2013	73,74
Castilla y León	Ambos sexos	2012	73,84
Castilla y León	Ambos sexos	2011	73,28
Castilla y León	Ambos sexos	2010	72,31
Castilla y León	Ambos sexos	2009	72,18
Castilla y León	Ambos sexos	2008	71,54
Castilla y León	Ambos sexos	2007	70,69
Castilla y León	Ambos sexos	2006	70,14
Castilla y León	Ambos sexos	2005	68,49
Castilla y León	Ambos sexos	2004	66,34
Castilla y León	Ambos sexos	2003	65,79
Castilla y León	Ambos sexos	2002	64,36
Castilla y León	Ambos sexos	2001	63,27
Castilla y León	Ambos sexos	2000	62,52
Castilla y León	Ambos sexos	1999	61,55
Castilla y León	Ambos sexos	1998	60,06
Castilla y León	Ambos sexos	1997	59,81
Castilla y León	Ambos sexos	1996	59,34
Castilla y León	Ambos sexos	1995	58,41
Castilla y León	Ambos sexos	1994	59,05
Castilla y León	Ambos sexos	1993	59,03
Castilla y León	Ambos sexos	1992	58,98
Castilla y León	Ambos sexos	1991	59,01
Castilla y León	Ambos sexos	1990	59,14
Castilla y León	Ambos sexos	1989	58,18
Castilla y León	Ambos sexos	1988	57,87
Castilla y León	Ambos sexos	1987	56,2
Castilla y León	Ambos sexos	1986	55,94
Castilla y León	Ambos sexos	1985	56,33
Castilla y León	Ambos sexos	1984	56,68
Castilla y León	Ambos sexos	1983	56,92
Castilla y León	Ambos sexos	1982	56,89
Castilla y León	Ambos sexos	1981	57,33
Castilla y León	Ambos sexos	1980	58,03
Castilla y León	Ambos sexos	1979	57,67
Castilla y León	Ambos sexos	1978	58,1
Castilla y León	Ambos sexos	1977	58,8
Castilla y León	Varones	2029	74,1
Castilla y León	Varones	2028	74,22
Castilla y León	Varones	2027	74,44
Castilla y León	Varones	2026	74,69
Castilla y León	Varones	2025	74,98
Castilla y León	Varones	2024	75,36
Castilla y León	Varones	2023	75,72
Castilla y León	Varones	2022	76
Castilla y León	Varones	2021	76,34
Castilla y León	Varones	2020	76,71
Castilla y León	Varones	2019	77,14
Castilla y León	Varones	2018	77,49
Castilla y León	Varones	2017	77,87
Castilla y León	Varones	2016	78,18
Castilla y León	Varones	2015	80,14
Castilla y León	Varones	2014	79,57
Castilla y León	Varones	2013	79,96
Castilla y León	Varones	2012	81,09
Castilla y León	Varones	2011	80,31
Castilla y León	Varones	2010	80,51
Castilla y León	Varones	2009	80,82
Castilla y León	Varones	2008	81,55
Castilla y León	Varones	2007	81,07
Castilla y León	Varones	2006	81,6
Castilla y León	Varones	2005	80,71
Castilla y León	Varones	2004	78,8
Castilla y León	Varones	2003	78,82
Castilla y León	Varones	2002	78,48
Castilla y León	Varones	2001	77,94
Castilla y León	Varones	2000	77,18
Castilla y León	Varones	1999	76,68
Castilla y León	Varones	1998	75,73
Castilla y León	Varones	1997	75,98
Castilla y León	Varones	1996	75,52
Castilla y León	Varones	1995	74,97
Castilla y León	Varones	1994	75,91
Castilla y León	Varones	1993	76,36
Castilla y León	Varones	1992	76,58
Castilla y León	Varones	1991	77,88
Castilla y León	Varones	1990	78,48
Castilla y León	Varones	1989	77,77
Castilla y León	Varones	1988	78,58
Castilla y León	Varones	1987	78,69
Castilla y León	Varones	1986	79,1
Castilla y León	Varones	1985	79,42
Castilla y León	Varones	1984	80,22
Castilla y León	Varones	1983	80,56
Castilla y León	Varones	1982	81,14
Castilla y León	Varones	1981	81,27
Castilla y León	Varones	1980	82,06
Castilla y León	Varones	1979	81,69
Castilla y León	Varones	1978	82,43
Castilla y León	Varones	1977	83,44
Castilla y León	Mujeres	2029	70,1
Castilla y León	Mujeres	2028	70,21
Castilla y León	Mujeres	2027	70,42
Castilla y León	Mujeres	2026	70,68
Castilla y León	Mujeres	2025	70,69
Castilla y León	Mujeres	2024	70,77
Castilla y León	Mujeres	2023	70,71
Castilla y León	Mujeres	2022	70,54
Castilla y León	Mujeres	2021	70,44
Castilla y León	Mujeres	2020	70,43
Castilla y León	Mujeres	2019	70,08
Castilla y León	Mujeres	2018	69,73
Castilla y León	Mujeres	2017	69,42
Castilla y León	Mujeres	2016	68,7
Castilla y León	Mujeres	2015	68,11
Castilla y León	Mujeres	2014	68,08
Castilla y León	Mujeres	2013	67,24
Castilla y León	Mujeres	2012	66,23
Castilla y León	Mujeres	2011	65,89
Castilla y León	Mujeres	2010	63,68
Castilla y León	Mujeres	2009	63,04
Castilla y León	Mujeres	2008	60,97
Castilla y León	Mujeres	2007	59,78
Castilla y León	Mujeres	2006	58,12
Castilla y León	Mujeres	2005	55,69
Castilla y León	Mujeres	2004	53,31
Castilla y León	Mujeres	2003	52,19
Castilla y León	Mujeres	2002	49,63
Castilla y León	Mujeres	2001	47,97
Castilla y León	Mujeres	2000	47,26
Castilla y León	Mujeres	1999	45,8
Castilla y León	Mujeres	1998	43,77
Castilla y León	Mujeres	1997	43
Castilla y León	Mujeres	1996	42,56
Castilla y León	Mujeres	1995	41,24
Castilla y León	Mujeres	1994	41,59
Castilla y León	Mujeres	1993	41,09
Castilla y León	Mujeres	1992	40,77
Castilla y León	Mujeres	1991	39,46
Castilla y León	Mujeres	1990	39,09
Castilla y León	Mujeres	1989	37,89
Castilla y León	Mujeres	1988	36,43
Castilla y León	Mujeres	1987	32,96
Castilla y León	Mujeres	1986	32,02
Castilla y León	Mujeres	1985	32,54
Castilla y León	Mujeres	1984	32,46
Castilla y León	Mujeres	1983	32,68
Castilla y León	Mujeres	1982	32,09
Castilla y León	Mujeres	1981	32,9
Castilla y León	Mujeres	1980	33,56
Castilla y León	Mujeres	1979	33,26
Castilla y León	Mujeres	1978	33,48
Castilla y León	Mujeres	1977	33,94
Castilla - La Mancha	Ambos sexos	2029	74,34
Castilla - La Mancha	Ambos sexos	2028	74,4
Castilla - La Mancha	Ambos sexos	2027	74,58
Castilla - La Mancha	Ambos sexos	2026	74,77
Castilla - La Mancha	Ambos sexos	2025	74,89
Castilla - La Mancha	Ambos sexos	2024	75,11
Castilla - La Mancha	Ambos sexos	2023	75,3
Castilla - La Mancha	Ambos sexos	2022	75,44
Castilla - La Mancha	Ambos sexos	2021	75,57
Castilla - La Mancha	Ambos sexos	2020	75,68
Castilla - La Mancha	Ambos sexos	2019	75,72
Castilla - La Mancha	Ambos sexos	2018	75,63
Castilla - La Mancha	Ambos sexos	2017	75,4
Castilla - La Mancha	Ambos sexos	2016	75,12
Castilla - La Mancha	Ambos sexos	2015	73,9
Castilla - La Mancha	Ambos sexos	2014	74,55
Castilla - La Mancha	Ambos sexos	2013	73,97
Castilla - La Mancha	Ambos sexos	2012	74,01
Castilla - La Mancha	Ambos sexos	2011	73,19
Castilla - La Mancha	Ambos sexos	2010	72,62
Castilla - La Mancha	Ambos sexos	2009	72,31
Castilla - La Mancha	Ambos sexos	2008	71,69
Castilla - La Mancha	Ambos sexos	2007	70,67
Castilla - La Mancha	Ambos sexos	2006	69,96
Castilla - La Mancha	Ambos sexos	2005	68,21
Castilla - La Mancha	Ambos sexos	2004	66,66
Castilla - La Mancha	Ambos sexos	2003	66,32
Castilla - La Mancha	Ambos sexos	2002	63,97
Castilla - La Mancha	Ambos sexos	2001	62,61
Castilla - La Mancha	Ambos sexos	2000	61,76
Castilla - La Mancha	Ambos sexos	1999	60,83
Castilla - La Mancha	Ambos sexos	1998	59,6
Castilla - La Mancha	Ambos sexos	1997	58,18
Castilla - La Mancha	Ambos sexos	1996	56,98
Castilla - La Mancha	Ambos sexos	1995	56,66
Castilla - La Mancha	Ambos sexos	1994	57,46
Castilla - La Mancha	Ambos sexos	1993	57,62
Castilla - La Mancha	Ambos sexos	1992	57,48
Castilla - La Mancha	Ambos sexos	1991	56,78
Castilla - La Mancha	Ambos sexos	1990	57,11
Castilla - La Mancha	Ambos sexos	1989	57,13
Castilla - La Mancha	Ambos sexos	1988	56,32
Castilla - La Mancha	Ambos sexos	1987	54,19
Castilla - La Mancha	Ambos sexos	1986	53,93
Castilla - La Mancha	Ambos sexos	1985	54,25
Castilla - La Mancha	Ambos sexos	1984	54,18
Castilla - La Mancha	Ambos sexos	1983	54,49
Castilla - La Mancha	Ambos sexos	1982	54,29
Castilla - La Mancha	Ambos sexos	1981	53,9
Castilla - La Mancha	Ambos sexos	1980	54,78
Castilla - La Mancha	Ambos sexos	1979	55,47
Castilla - La Mancha	Ambos sexos	1978	56,32
Castilla - La Mancha	Ambos sexos	1977	56,44
Castilla - La Mancha	Varones	2029	77,6
Castilla - La Mancha	Varones	2028	77,65
Castilla - La Mancha	Varones	2027	77,83
Castilla - La Mancha	Varones	2026	78
Castilla - La Mancha	Varones	2025	78,33
Castilla - La Mancha	Varones	2024	78,76
Castilla - La Mancha	Varones	2023	79,19
Castilla - La Mancha	Varones	2022	79,55
Castilla - La Mancha	Varones	2021	79,92
Castilla - La Mancha	Varones	2020	80,3
Castilla - La Mancha	Varones	2019	80,61
Castilla - La Mancha	Varones	2018	80,91
Castilla - La Mancha	Varones	2017	81,11
Castilla - La Mancha	Varones	2016	81,25
Castilla - La Mancha	Varones	2015	81,24
Castilla - La Mancha	Varones	2014	81,97
Castilla - La Mancha	Varones	2013	81,92
Castilla - La Mancha	Varones	2012	81,9
Castilla - La Mancha	Varones	2011	82,63
Castilla - La Mancha	Varones	2010	83,18
Castilla - La Mancha	Varones	2009	83,34
Castilla - La Mancha	Varones	2008	83,59
Castilla - La Mancha	Varones	2007	84,58
Castilla - La Mancha	Varones	2006	84,82
Castilla - La Mancha	Varones	2005	83,56
Castilla - La Mancha	Varones	2004	82,13
Castilla - La Mancha	Varones	2003	82,25
Castilla - La Mancha	Varones	2002	81,18
Castilla - La Mancha	Varones	2001	80,84
Castilla - La Mancha	Varones	2000	80,48
Castilla - La Mancha	Varones	1999	79,86
Castilla - La Mancha	Varones	1998	78,4
Castilla - La Mancha	Varones	1997	77,55
Castilla - La Mancha	Varones	1996	76,88
Castilla - La Mancha	Varones	1995	76,82
Castilla - La Mancha	Varones	1994	78,85
Castilla - La Mancha	Varones	1993	78,91
Castilla - La Mancha	Varones	1992	79,24
Castilla - La Mancha	Varones	1991	79,99
Castilla - La Mancha	Varones	1990	80,43
Castilla - La Mancha	Varones	1989	80,72
Castilla - La Mancha	Varones	1988	80,67
Castilla - La Mancha	Varones	1987	80,67
Castilla - La Mancha	Varones	1986	81,3
Castilla - La Mancha	Varones	1985	81,68
Castilla - La Mancha	Varones	1984	81,99
Castilla - La Mancha	Varones	1983	82,6
Castilla - La Mancha	Varones	1982	83,06
Castilla - La Mancha	Varones	1981	82,47
Castilla - La Mancha	Varones	1980	83,59
Castilla - La Mancha	Varones	1979	84,66
Castilla - La Mancha	Varones	1978	85,41
Castilla - La Mancha	Varones	1977	85,98
Castilla - La Mancha	Mujeres	2029	70,93
Castilla - La Mancha	Mujeres	2028	71
Castilla - La Mancha	Mujeres	2027	71,17
Castilla - La Mancha	Mujeres	2026	71,38
